date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score,asset_5_symbol,asset_5_weight,asset_5_score,asset_6_symbol,asset_6_weight,asset_6_score,asset_7_symbol,asset_7_weight,asset_7_score
2020-02-12,Custom_Risk_2_positive,7,BTC,0.23261425587171566,0.8270848866839191,ETH,0.12820080706922266,0.5201730987348359,GNO,0.1042040732926237,0.10480938223354244,DCR,0.12265182529456947,-0.24264202500450724,BNB,0.12758098317832275,-0.2446481649545296,BCH,0.14898869956659086,-0.40655314699638384,ETC,0.13575935572695483,-0.558224030696877
2020-02-19,Custom_Risk_2_positive,7,BTC,0.23261425587171566,0.7337863504972082,ETH,0.12820080706922266,0.5181364673413784,GNO,0.1042040732926237,0.025488390829951385,BNB,0.12758098317832275,-0.0546209685126951,DCR,0.12265182529456947,-0.25677813205414834,BCH,0.14898869956659086,-0.4071146301949117,ETC,0.13575935572695483,-0.558897477906783
2020-02-26,Custom_Risk_2_positive,7,BTC,0.23287103440764662,0.688185159889535,ETH,0.1376608588125473,0.5666358098870451,GNO,0.10600290567299067,0.4189649500319099,BNB,0.16751152077984602,0.010406350488818245,BCH,0.1303962448214841,-0.4299876017491884,DCR,0.11968130596973403,-0.4961422205840121,ETC,0.1058761295357513,-0.7580624479641084
2020-03-04,Custom_Risk_2_positive,7,BTC,0.23674953067757418,1.0089163184766168,ETH,0.14105634511845455,0.641536964069666,GNO,0.11649522074769114,0.32526671930942164,DCR,0.13460724591386575,-0.24910598730383382,BNB,0.15537251179386166,-0.3453177295581637,BCH,0.1216277426610748,-0.5237292676708564,ETC,0.09409140308747796,-0.8575670173228503
2020-03-11,Custom_Risk_2_positive,7,BTC,0.20142033010437374,0.7799091722076841,ETH,0.12785624460200298,0.2505277340987465,DCR,0.17373661913202715,0.16691711980717916,BNB,0.13861682687620702,-0.003250965743854098,GNO,0.12938099517371968,-0.01564589778379928,ETC,0.11443530634237671,-0.557638629451126,BCH,0.11455367776929273,-0.6208185331348292
2020-03-18,Custom_Risk_2_positive,7,BTC,0.1503699229921756,1.1062865101202752,ETH,0.12373777039851681,0.32293710888320193,GNO,0.1854769346437153,0.271965636226165,DCR,0.1517558126723007,-0.058974639197782064,BNB,0.13705794497856244,-0.18403276085948395,BCH,0.11966306222450572,-0.6859874713303012,ETC,0.13193855209022334,-0.7721943838420732
2020-03-25,Custom_Risk_2_positive,7,BTC,0.1484424490734434,1.01708732062924,GNO,0.17795880261767846,0.6313146850483478,ETC,0.13885959965789774,-0.13243649111170827,ETH,0.12530191751695854,-0.24486722137024342,DCR,0.14972894951807353,-0.3242694035895076,BNB,0.1380042144530904,-0.4428615598718053,BCH,0.12170406716285806,-0.503967329734323
2020-04-01,Custom_Risk_2_positive,7,BTC,0.13722662068630778,1.3615656686237418,DCR,0.15085719972271966,0.0866822358374491,ETH,0.13005857476397492,-0.21214285859549642,GNO,0.11677617292272723,-0.24528876497991622,BCH,0.12249733770455212,-0.25347202301746297,ETC,0.20667195655588536,-0.2728323222928967,BNB,0.13591213764383292,-0.4645119355754175
2020-04-08,Custom_Risk_2_positive,7,BTC,0.15922511624934357,1.3140462927197587,BCH,0.1514755574014368,0.014042289655271791,DCR,0.15791883965739578,-0.023297815787051812,BNB,0.14729256995503762,-0.027467250252689895,ETC,0.19375858790841857,-0.10912655952381549,ETH,0.1278245637590946,-0.27277080036184465,GNO,0.06250476506927305,-0.8954261564496295
2020-04-15,Custom_Risk_2_positive,7,BTC,0.21473769799804515,0.6993475807099896,ETH,0.1223428886948728,0.28326539156515784,BCH,0.13932248121081967,0.1925770635136767,BNB,0.14366490303729665,-0.049697257207515305,GNO,0.04173128479494614,-0.2226384113667335,ETC,0.14057354298207653,-0.29745391425816703,DCR,0.1976272012819429,-0.6054004529564083
